1	0.54664	-0.3284	-0.77028	1	1	1
1	0.91412	-0.3644	0.17777	1	3	1
1	0.1912	-0.84739	0.49536	1	7	1
1	0.84222	0.29187	-0.45329	1	8	1
1	0.59233	-0.066666	-0.80293	1	11	0
1	-0.58496	-0.6324	-0.50784	1	17	0
1	-0.79579	-0.5779	-0.18096	1	19	1
1	0.97475	-0.17994	-0.13225	1	22	0
1	-0.0077271	-0.53045	-0.84768	1	28	1
1	-0.073463	-0.99617	0.047344	1	30	0
1	0.53031	0.52217	-0.66792	2	39	1
1	0.97618	0.19974	-0.084679	2	40	0
1	0.49691	-0.65826	0.56549	2	44	1
1	0.20456	-0.95097	-0.23197	2	45	1
1	-0.33424	-0.38437	-0.86055	2	46	0
1	-0.73653	-0.65843	0.15492	2	49	1
1	0.253	-0.13171	-0.95846	2	55	0
1	-0.34442	-0.69329	-0.63303	2	56	1
2	0.54627	-0.3209	-0.7737	1	1	1
2	0.91573	-0.36427	0.16957	1	3	1
2	-0.39386	-0.7095	0.58437	1	6	1
2	0.19152	-0.84314	0.50243	1	7	0
2	0.8449	0.29425	-0.44672	1	8	1
2	0.59429	-0.059385	-0.80206	1	11	0
2	-0.58118	-0.63052	-0.51446	1	17	0
2	-0.79425	-0.57754	-0.18875	1	19	1
2	0.97398	-0.17814	-0.14014	1	22	0
2	-0.0011454	-0.53382	-0.8456	1	28	1
2	-0.072423	-0.9958	0.056071	1	30	0
2	0.5237	0.52266	-0.67273	2	39	1
2	0.97535	0.19977	-0.093744	2	40	0
2	0.49407	-0.65378	0.57311	2	44	1
2	0.20513	-0.95338	-0.22132	2	45	1
2	-0.3316	-0.3927	-0.85781	2	46	0
2	-0.73783	-0.659	0.14601	2	49	1
2	0.2581	-0.12415	-0.95811	2	55	0
2	-0.34098	-0.68791	-0.64072	2	56	1
3	0.54592	-0.31338	-0.77702	1	1	1
3	0.91728	-0.3641	0.16134	1	3	1
3	-0.39389	-0.71407	0.57875	1	6	1
3	0.19186	-0.83884	0.50944	1	7	0
3	0.84754	0.29659	-0.44012	1	8	1
3	0.59626	-0.052131	-0.8011	1	11	0
3	-0.57736	-0.62863	-0.52103	1	17	0
3	-0.79264	-0.57714	-0.19653	1	19	1
3	0.97315	-0.17629	-0.14802	1	22	0
3	0.0054191	-0.53721	-0.84343	1	28	1
3	-0.071391	-0.99534	0.064785	1	30	0
3	0.51704	0.52318	-0.67746	2	39	1
3	0.97442	0.19982	-0.10281	2	40	0
3	0.49123	-0.64925	0.58066	2	44	1
3	0.20565	-0.95569	-0.21065	2	45	1
3	-0.32899	-0.40103	-0.85495	2	46	0
3	-0.73909	-0.65951	0.13708	2	49	1
3	0.26322	-0.11663	-0.95766	2	55	0
3	-0.33747	-0.68248	-0.64833	2	56	1
4	0.54559	-0.30585	-0.78025	1	1	1
4	0.91877	-0.36389	0.15308	1	3	1
4	-0.39393	-0.71861	0.57309	1	6	1
4	0.19219	-0.8345	0.5164	1	7	0
4	0.85014	0.2989	-0.43349	1	8	1
4	0.59824	-0.044902	-0.80006	1	11	0
4	-0.57348	-0.62673	-0.52757	1	17	0
4	-0.79098	-0.57672	-0.20431	1	19	1
4	0.97226	-0.1744	-0.15588	1	22	0
4	0.011966	-0.54062	-0.84118	1	28	1
4	-0.070368	-0.99481	0.073487	1	30	0
4	0.51033	0.52373	-0.68211	2	39	1
4	0.97341	0.19988	-0.11187	2	40	0
4	0.48839	-0.64465	0.58814	2	44	1
4	0.2061	-0.95788	-0.19996	2	45	1
4	-0.32642	-0.40937	-0.85198	2	46	0
4	-0.7403	-0.65996	0.12812	2	49	1
4	0.26838	-0.10914	-0.95711	2	55	0
4	-0.33389	-0.67701	-0.65587	2	56	1
5	0.54527	-0.29829	-0.78339	1	1	1
5	0.92021	-0.36366	0.14481	1	3	1
5	-0.39398	-0.7231	0.56736	1	6	1
5	0.19253	-0.83011	0.5233	1	7	0
5	0.85271	0.30116	-0.42684	1	8	1
5	0.60022	-0.0377	-0.79894	1	11	0
5	-0.56954	-0.62481	-0.53407	1	17	0
5	-0.78926	-0.57627	-0.21207	1	19	1
5	0.97131	-0.17248	-0.16372	1	22	0
5	0.018494	-0.54405	-0.83885	1	28	1
5	-0.069352	-0.9942	0.082174	1	30	0
5	0.50359	0.5243	-0.68667	2	39	1
5	0.97231	0.19996	-0.12092	2	40	0
5	0.48554	-0.63999	0.59554	2	44	1
5	0.20651	-0.95997	-0.18925	2	45	1
5	-0.32389	-0.41771	-0.84889	2	46	0
5	-0.74146	-0.66034	0.11914	2	49	1
5	0.27356	-0.1017	-0.95646	2	55	0
5	-0.33024	-0.67151	-0.66334	2	56	1
6	0.54497	-0.29072	-0.78644	1	1	1
6	0.92158	-0.36339	0.13652	1	3	1
6	-0.39404	-0.72756	0.56159	1	6	1
6	0.19288	-0.82567	0.53015	1	7	0
